Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.201521868,2/1/16,6,0,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,0,,277
0.352810516,2/1/16,7,0,10,0.47,-0.04,90.08,6,29.2,29.99,84.29,,
0.494041493,2/1/16,8,0.14,9.92,0.89,0.3,92,2.76,29.22,30.01,531,,
0.088766256,2/1/16,9,0.92,10,1.97,0.41,86.12,5.56,29.24,30.04,923.75,,
0.376425668,2/1/16,10,0.46,10,3.15,1.07,82.48,2.12,29.27,30.06,1947.75,,
0.8854276,2/1/16,11,0.42,10,4.5,1.05,75.88,0,29.27,30.06,3562,,
0.303151094,2/1/16,12,0,10,6.16,1.26,68.96,0,29.26,30.05,4236.5,,
0.694607525,2/1/16,13,0,10,7.56,1.41,64.48,0,29.25,30.04,3913,,
0.003476441,2/1/16,14,0,10,8.47,0.63,57.12,3.72,29.24,30.03,3189.25,,
0.867960026,2/1/16,15,0,10,8.78,-0.2,51.76,2.04,29.23,30.02,1687.75,,
0.137743648,2/1/16,16,0,10,8.49,-0.21,54.2,3.2,29.24,30.03,453.93,,
0.340851989,2/1/16,17,0,10,5.86,0.44,64.64,3.16,29.26,30.05,9.13,,
0.167501276,2/2/16,6,0.92,5.04,2.07,0.54,89.8,14.08,29.19,29.98,0,,
0.192239648,2/2/16,7,0.92,5.76,2.51,0.67,86.8,18,29.13,29.92,31.35,,
0.571137114,2/2/16,8,0.92,5,2.63,1.06,88.84,17.92,29.08,29.87,116.1,,
0.24000058,2/2/16,9,1,6.35,3.34,1.65,86.89,18.3,29.01,29.81,172.5,,
0.789636725,2/2/16,10,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,205,,
0.243506209,2/2/16,11,1,7.35,5.04,3.16,86.38,21.5,28.9,29.68,274,,
0.826103557,2/2/16,12,1,5.93,6.34,4.93,90.56,20.46,28.85,29.64,325,,
0.339090233,2/2/16,13,1,1,7.96,7.07,97.28,17.56,28.81,29.59,256.5,,
0.250015776,2/2/16,14,1,0.92,9.99,9.27,97.38,15.76,28.76,29.54,133.75,,
0.521704496,2/2/16,15,1,3.15,11.87,11.02,96,20.92,28.72,29.5,182.5,,
0.308096173,2/2/16,16,1,4.68,12.79,11.72,95.2,17.96,28.71,29.49,115.5,,
0.820558548,2/2/16,17,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,2.93,,
0.646817788,2/3/16,6,0.16,10,2.47,0.22,79.12,15.36,28.83,29.61,0.68,,
0.621496436,2/3/16,7,0.56,10,1.86,-0.17,81.04,11.72,28.85,29.63,303.38,,
0.583666605,2/3/16,8,0.98,10,2.47,0.23,80.04,15.23,28.88,29.67,327.75,,
0.981036138,2/3/16,9,1,10,3.14,0.42,79,20.56,28.91,29.7,337.75,,
0.122528555,2/3/16,10,1,10,3.13,1.02,81.88,19.4,28.94,29.73,205,,
0.723825957,2/3/16,11,1,7.44,2.78,1.22,86.8,21.4,28.96,29.75,250.5,,
0.019863227,2/3/16,12,1,5.3,2.05,1.05,88.7,22.35,28.98,29.77,378.75,,
0.372120941,2/3/16,13,1,9.74,1.58,0.39,88.58,21.59,29,29.79,310,,
0.535148297,2/3/16,14,1,9.89,1.1,-0.08,87.56,22.57,29.05,29.84,256.25,,
0.598621133,2/3/16,15,1,10,0.31,-0.77,88.58,19,29.08,29.88,353.75,,
0.844335457,2/3/16,16,1,10,-0.22,-1.66,85.76,21.16,29.13,29.92,62.8,,
0.376373638,2/3/16,17,1,10,-0.54,-2.36,84.2,19.72,29.17,29.96,0.74,,
0.126067722,2/4/16,6,1,10,-4.76,-7.75,75.92,13.68,29.42,30.22,0,,
0.579046039,2/4/16,7,0.42,10,-5.41,-8.68,75.44,12.08,29.45,30.25,243.54,,
0.940896351,2/4/16,8,0.3,10,-5.49,-8.8,74.57,11.88,29.46,30.26,1750.25,,
0.499346121,2/4/16,9,0.29,10,-4.75,-8.5,71.64,12.6,29.48,30.28,3386,,
0.202607698,2/4/16,10,0.15,10,-3.81,-8.15,69.84,10.76,29.49,30.29,4258.25,,
0.341788235,2/4/16,11,0,10,-2.86,-7.78,66.84,8.72,29.47,30.27,4610.25,,
0.657729927,2/4/16,12,0.28,10,-1.92,-6.76,67.72,10.44,29.46,30.26,4617.25,,
0.458084264,2/4/16,13,0,10,-1.19,-6.52,64.52,10.64,29.45,30.25,4278.25,,
0.498681808,2/4/16,14,0,10,-0.49,-6.05,64.84,8.08,29.44,30.24,3491.75,,
0.555791976,2/4/16,15,0,10,0.1,-5.54,63.8,8.72,29.45,30.25,1941,,
0.761486464,2/4/16,16,0,10,0.12,-5.36,64.96,7.68,29.47,30.27,542,,
0.025042864,2/4/16,17,0,10,-0.6,-4.66,69.2,4.84,29.49,30.29,12.84,,
0.574597018,2/5/16,6,0.56,9.96,-3.37,-4.33,87.27,7.23,29.53,30.33,0.37,,
0.567352003,2/5/16,7,0.98,6.42,-2.93,-3.86,87.58,9.42,29.55,30.35,107.35,,
0.569782734,2/5/16,8,0.92,9.73,-2.74,-4.65,84.08,10,29.57,30.37,652.25,,
0.407735379,2/5/16,9,0.75,10,-1.9,-4.38,76.42,11.31,29.58,30.38,768.25,,
0.372854952,2/5/16,10,1,10,-1.58,-4.41,75.62,8.85,29.59,30.39,1127,,
0.548637318,2/5/16,11,1,10,-1.34,-4.07,77.04,8.64,29.59,30.39,1213.5,,
0.632886517,2/5/16,12,1,10,-0.96,-4.04,76.92,8.72,29.58,30.38,1881.5,,
0.103753515,2/5/16,13,1,10,-0.57,-4.03,74.76,6.04,29.56,30.36,1567.25,,
0.832463728,2/5/16,14,1,10,-0.35,-4.03,74.76,7.36,29.57,30.37,1291.25,,
0.920879481,2/5/16,15,1,10,-0.1,-4.1,72.84,6.36,29.57,30.37,710.25,,
0.275257028,2/5/16,16,1,10,-0.15,-3.85,74.76,5,29.58,30.38,304.13,,
0.998691352,2/5/16,17,0.97,10,-0.7,-4.07,75.56,4.74,29.58,30.39,10.74,,
0.538721559,2/6/16,6,1,7,-3.27,-4.39,91.72,3.8,29.51,30.31,1.51,,
0.751639261,2/6/16,7,0.79,5.68,-3.21,-3.66,91.04,4.28,29.52,30.32,228.13,,
0.835481731,2/6/16,8,0.16,5,-2.18,-3.15,89.92,6.92,29.52,30.32,1652.75,,
0.937253683,2/6/16,9,0,5.72,-0.32,-2.05,87.56,7.36,29.52,30.32,3167.75,,
0.285676819,2/6/16,10,0,9.92,1.93,-1.72,75.16,8.04,29.51,30.31,3987.75,,
0.429949499,2/6/16,11,0,10,3.8,-0.97,67.88,8,29.48,30.28,4331.5,,
0.16010697,2/6/16,12,0,10,5.39,-0.72,63.4,7.76,29.45,30.25,4356.25,,
0.513377654,2/6/16,13,0,10,6.66,-0.11,59.92,10,29.43,30.23,4026.75,,
0.267037293,2/6/16,14,0,10,7.49,0.37,59.76,10.76,29.4,30.2,3248.5,,
0.942135601,2/6/16,15,0,10,7.66,0.49,60.8,10.32,29.39,30.19,1842.5,,
0.007802474,2/6/16,16,0,10,7.07,0.93,62.8,7.48,29.39,30.19,514.75,,
0.396233392,2/6/16,17,0,10,4.04,0.98,75.36,5.4,29.38,30.18,16.83,,
0.162175187,2/7/16,6,0.14,10,2.15,-0.82,76.12,12.28,29.18,29.97,0.79,,
0.514178822,2/7/16,7,0,10,2.4,-0.89,70.36,12.28,29.16,29.95,271.78,,
0.17888676,2/7/16,8,0,10,2.96,-0.76,71.08,16.6,29.15,29.94,1249.5,,
0.556547418,2/7/16,9,0,10,3.96,-0.61,70.2,17.96,29.12,29.91,3165.5,,
0.160984964,2/7/16,10,0,10,5.85,0.49,66.92,19.24,29.11,29.9,3874.25,,
0.760595832,2/7/16,11,0,10,7.77,1.47,62.8,19.36,29.08,29.87,3550.5,,
0.73849946,2/7/16,12,0,10,8.82,1.47,60.16,18.88,29.05,29.84,4285.25,,
0.695938272,2/7/16,13,0.28,10,9.12,2.36,61.36,18,29.03,29.82,2876.25,,
0.043184086,2/7/16,14,0.28,10,8.98,2.42,62.4,18.88,29.01,29.8,2008.25,,
0.439596289,2/7/16,15,0.14,10,8.28,2.25,63.8,17.8,29.01,29.8,922.75,,
0.726388975,2/7/16,16,0.14,10,7.12,2.37,70.68,13.28,29.03,29.82,334.75,,
0.504319337,2/7/16,17,0.15,10,5.74,2.05,71.64,12.44,29.04,29.83,19.33,,
0.864032393,2/8/16,6,1,6.7,0.54,-0.05,92,8.37,28.89,29.67,0,,
0.04268068,2/8/16,7,1,3.22,0.04,-0.73,92.82,10.85,28.89,29.68,44.17,,
0.351583657,2/8/16,8,1,8,-0.89,-1.85,89.8,14.64,28.91,29.69,112.35,,
0.51093662,2/8/16,9,1,9.96,-2.34,-4.65,79.04,18.16,28.92,29.71,341,,
0.538624292,2/8/16,10,1,10,-3.25,-5.12,79.12,18.88,28.94,29.73,727,,
0.502919947,2/8/16,11,1,4.42,-3.55,-5.68,81.07,20.86,28.95,29.74,1053.5,,
0.601462252,2/8/16,12,1,7.32,-3.6,-6.23,78.12,16.52,28.95,29.73,1110.25,,
0.484427621,2/8/16,13,1,5.19,-4.24,-7.3,75.21,16.99,28.95,29.74,694.75,,
0.13582121,2/8/16,14,1,1.78,-4.87,-6.8,82.31,16.86,28.96,29.76,370,,
0.000508722,2/8/16,15,1,1.94,-5.22,-6.93,83.61,15.71,28.98,29.77,414,,
0.126416947,2/8/16,16,1,4.42,-5.2,-7.21,82,14.88,28.99,29.78,183,,
0.800291932,2/8/16,17,1,8.3,-5.43,-7.83,79.22,16.81,29.01,29.8,5.83,,
0.612383868,2/9/16,6,1,8.36,-7.32,-9.58,79.56,14.32,29.01,29.8,0.3,,
0.045188735,2/9/16,7,1,4.66,-7.77,-9.83,82.08,15.6,29.03,29.83,109.58,,
0.732918431,2/9/16,8,1,4.04,-7.79,-9.99,81.72,15.35,29.04,29.84,389.25,,
0.120808295,2/9/16,9,1,3.48,-7.53,-10.06,78.32,16.86,29.05,29.85,638,,
0.90081563,2/9/16,10,1,1.98,-7.52,-9.68,81.77,19.54,29.07,29.86,720,,
0.779057098,2/9/16,11,1,1.85,-7.41,-9.72,81.51,21.46,29.08,29.87,977.5,,
0.449749488,2/9/16,12,1,2.62,-7.47,-10.37,77.75,19.63,29.08,29.87,1352.5,,
0.621169102,2/9/16,13,0.93,3.25,-7.3,-10.62,74.11,21.48,29.07,29.87,1254,,
0.526453819,2/9/16,14,1,4.71,-7.1,-10.81,72.08,20.12,29.09,29.88,642,,
0.03043106,2/9/16,15,1,4.78,-7.12,-10.71,73.38,20.35,29.12,29.91,517.5,,
0.973666283,2/9/16,16,1,3.84,-7.5,-10.8,76.26,18.68,29.14,29.94,184.88,,
0.30788982,2/9/16,17,1,6.98,-7.71,-11.29,72.96,15.92,29.16,29.95,10.14,,
0.615428186,2/10/16,6,0,10,-13.94,-15.79,76.16,8.96,29.26,30.05,2.41,,
0.64089608,2/10/16,7,0,10,-13.83,-15.95,76.28,9.6,29.27,30.06,322.55,,
0.365113566,2/10/16,8,0,10,-11.7,-15.46,70.24,14.6,29.28,30.07,1287.25,,
0.188027407,2/10/16,9,0,10,-10.71,-15.06,67.12,17.44,29.3,30.09,2402.25,,
0.189895645,2/10/16,10,0.28,10,-9.8,-14.84,64.44,14.64,29.3,30.09,3605.75,,
0.666392545,2/10/16,11,0,10,-9.02,-13.98,65.6,13.04,29.29,30.08,3823.25,,
0.143258112,2/10/16,12,0.28,10,-8.06,-13.47,63.92,11.12,29.28,30.07,3286.75,,
0.368451563,2/10/16,13,0.29,10,-7.33,-13.09,61.24,11.76,29.26,30.05,2443,,
0.056932376,2/10/16,14,0,10,-6.82,-12.91,60.6,11.76,29.26,30.05,2479.75,,
0.552922588,2/10/16,15,0.38,10,-6.67,-12.92,59.04,10.52,29.27,30.06,880.25,,
0.103096028,2/10/16,16,0.56,10,-6.68,-13.2,57.44,10.2,29.28,30.07,303.75,,
0.880528694,2/10/16,17,0.45,10,-6.97,-13.04,59.64,8.88,29.3,30.09,15.3,,
0.809132718,2/11/16,6,0,10,-12.06,-14.34,78.88,5.36,29.47,30.27,4.2,,
0.496215173,2/11/16,7,0,10,-12.14,-15.65,68.47,8.56,29.48,30.28,542.25,,
0.04836931,2/11/16,8,0,10,-10.42,-15.16,65.2,8.44,29.5,30.3,2208,,
0.149627531,2/11/16,9,0,10,-8.95,-14.83,61.56,8.36,29.52,30.32,3659.25,,
0.638773648,2/11/16,10,0,10,-7.91,-15.4,52.64,7.4,29.53,30.33,4471.25,,
0.086949114,2/11/16,11,0,10,-7.11,-15.49,49.56,5.72,29.53,30.33,4673.75,,
0.069753304,2/11/16,12,0,10,-6.33,-15.11,48.52,5.4,29.52,30.32,4670.25,,
0.927520705,2/11/16,13,0,10,-5.77,-15.09,47.92,1.2,29.51,30.31,4464,,
0.190398085,2/11/16,14,0,10,-5.21,-14.1,50.08,3.2,29.51,30.31,3738,,
0.973851024,2/11/16,15,0,10,-4.93,-13.44,50.56,4.08,29.5,30.3,2381.5,,
0.509290508,2/11/16,16,0,10,-5.24,-13.56,49.6,1.92,29.51,30.31,570.75,,
0.574979783,2/11/16,17,0,10,-5.62,-13.46,52.72,0,29.51,30.31,27.93,,
0.364174028,2/12/16,6,1,7.6,-6.22,-7.53,87.08,4.54,29.39,30.19,0.2,,
0.693959171,2/12/16,7,1,10,-5.82,-6.91,87.08,6.65,29.4,30.2,62.8,,
0.306767472,2/12/16,8,1,10,-5.22,-6.29,86.96,9.62,29.39,30.19,293,,
0.354610144,2/12/16,9,1,10,-4.57,-6.4,80.2,12.92,29.39,30.19,352.5,,
0.121983115,2/12/16,10,1,9.96,-3.98,-6.44,78.27,15.96,29.4,30.2,664.25,,
0.922635212,2/12/16,11,1,7.44,-3.57,-6.27,78,15.32,29.39,30.19,702.5,,
0.345223547,2/12/16,12,1,6.12,-3.54,-6.09,79.08,18.08,29.39,30.19,555.75,,
0.124794555,2/12/16,13,1,6.96,-3.22,-6.95,73.15,20.73,29.39,30.19,1569.5,,
0.183335122,2/12/16,14,1,10,-2.96,-8.59,63.07,23.04,29.39,30.19,1646.25,,
0.41459724,2/12/16,15,0.74,10,-3.07,-10.04,57.48,22.36,29.41,30.21,1501,,
0.837786832,2/12/16,16,0.31,10,-2.99,-11.06,51.92,22.24,29.42,30.22,674.25,,
0.116738811,2/12/16,17,0.14,10,-4.25,-12.38,50.36,19.48,29.46,30.26,35.88,,
0.125728781,2/13/16,6,0,10,-14.88,-19.93,62.04,6.32,29.78,30.58,5.51,,
0.216822732,2/13/16,7,0,10,-14.93,-20.09,62.16,6.08,29.79,30.59,503,,
0.018847699,2/13/16,8,0,10,-13.58,-20.54,55.08,7.48,29.8,30.61,2089.75,,
0.949853745,2/13/16,9,0,10,-12.32,-19.86,53,9.36,29.81,30.62,3774,,
0.792937065,2/13/16,10,0,10,-10.96,-19.2,50.24,10.04,29.81,30.62,4549.75,,
0.947808328,2/13/16,11,0,10,-9.75,-18.72,48.24,9.28,29.8,30.61,4707,,
0.082376638,2/13/16,12,0,10,-8.82,-17.76,48.04,7.76,29.79,30.59,4664.5,,
0.610721912,2/13/16,13,0,10,-7.85,-17.36,44.84,7.68,29.77,30.57,4592.75,,
0.963870115,2/13/16,14,0,10,-7.32,-17.08,43.56,8.28,29.74,30.54,3525.75,,
0.231583233,2/13/16,15,0,10,-6.95,-17.08,42.84,8.96,29.74,30.54,1998.5,,
0.527590031,2/13/16,16,0,10,-7.24,-17.58,41.08,5.16,29.73,30.53,401,,
0.055385957,2/13/16,17,0,10,-7.69,-17.95,42.36,3.08,29.71,30.51,19.78,,
0.435957796,2/14/16,6,1,4.56,-8.94,-11.44,77.92,15.72,29.54,30.34,0.42,,
0.650277523,2/14/16,7,1,5.84,-8.76,-11.16,78.44,17.16,29.5,30.3,110.28,,
0.668334559,2/14/16,8,1,9.04,-8.43,-11.16,77.16,19.44,29.46,30.26,316.25,,
0.564990111,2/14/16,9,1,10,-8.11,-11.16,75.24,18.44,29.46,30.26,358.5,,
0.125437227,2/14/16,10,1,1.95,-7.71,-10.31,78.71,17.49,29.43,30.23,422.75,,
0.926668776,2/14/16,11,1,1.12,-7.58,-9.21,85.38,16.96,29.4,30.2,749,,
0.301098976,2/14/16,12,1,0.78,-7.39,-8.78,86.43,15.46,29.37,30.16,815.25,,
0.85418346,2/14/16,13,1,0.72,-6.91,-8.45,86.76,14.65,29.32,30.12,1432.75,,
0.228388889,2/14/16,14,1,1.9,-6.62,-8.29,84,15.69,29.3,30.09,1043,,
0.400261642,2/14/16,15,1,6,-6.62,-8.43,84,16.74,29.27,30.06,562.25,,
0.248619852,2/14/16,16,1,10,-6.58,-8.22,81,14.88,29.26,30.05,102.83,,
0.633190681,2/14/16,17,1,4.38,-6.6,-8.24,84.19,14,29.26,30.05,6.85,,
0.209820911,2/15/16,6,1,5,-4.1,-4.52,94.72,6.76,29.13,29.92,0.95,,
0.882772763,2/15/16,7,1,3.08,-3.83,-4.14,94.56,6.72,29.14,29.93,88.08,,
0.087555757,2/15/16,8,1,2.83,-3.33,-3.72,95.7,7.11,29.14,29.93,395.75,,
0.927565825,2/15/16,9,1,2.98,-2.65,-2.8,94.56,7.16,29.13,29.92,1000.5,,
0.25072199,2/15/16,10,1,2.37,-2.02,-2.15,94.52,7.96,29.13,29.92,1279.25,,
0.649383081,2/15/16,11,1,2.42,-1.53,-1.52,92.16,7.72,29.11,29.9,1204,,
0.19479553,2/15/16,12,1,2.23,-1.35,-1.45,93.38,7.62,29.08,29.87,1200.75,,
0.876683767,2/15/16,13,1,2.12,-1.13,-1.18,95.84,6,29.07,29.86,1038.25,,
0.740433645,2/15/16,14,1,2.77,-0.85,-1.11,92,6.27,29.06,29.86,653.5,,
0.336696803,2/15/16,15,1,2.96,-0.89,-0.91,95.56,6.15,29.06,29.86,537,,
0.373592766,2/15/16,16,1,3.75,-0.88,-0.94,94.62,4.46,29.06,29.85,275.25,,
0.559106197,2/15/16,17,1,2.13,-0.82,-0.63,95.84,4.72,29.06,29.85,18.68,,
0.470965545,2/16/16,6,0.94,10,-5.35,-5.12,90.62,2.69,29.03,29.82,14.64,,
0.939282894,2/16/16,7,0.91,7.21,-4.51,-5.12,87.68,3.28,29.03,29.82,220.33,,
0.086947821,2/16/16,8,0.66,7.04,-3.94,-4.79,90.44,3.44,29.03,29.82,980.75,,
0.156052706,2/16/16,9,0.35,7.11,-2.87,-4.5,86.63,5.22,29.03,29.82,3130.5,,
0.752317897,2/16/16,10,0.52,7.08,-1.37,-3.54,84.04,5.72,29.05,29.84,3950.75,,
0.764464832,2/16/16,11,0.24,7.08,0.02,-2.79,81.16,7.08,29.05,29.84,4465.75,,
0.59825802,2/16/16,12,0.56,8.08,1.29,-2.1,81.04,9.24,29.04,29.83,4632.5,,
0.340458544,2/16/16,13,0.96,8.04,1.72,-1.45,83.8,7.72,29.04,29.83,4101,,
0.47425803,2/16/16,14,0.93,7.22,2.39,-1.11,81.12,8.56,29.04,29.83,3569.25,,
0.858611073,2/16/16,15,0.96,7.08,2.35,-1.02,81.64,7.32,29.05,29.84,2020.5,,
0.170903958,2/16/16,16,1,8.08,2.03,-1.1,81.53,4.68,29.07,29.86,412.5,,
0.369556048,2/16/16,17,1,6.48,1.33,-1,83.68,0.2,29.09,29.88,27.43,,
0.71340187,2/17/16,6,0,6.36,-2.16,-3.65,89.92,6.68,29.35,30.15,12.94,,
0.479514969,2/17/16,7,0.24,5.08,-2,-3.74,87.56,4.72,29.38,30.18,596.5,,
0.239064805,2/17/16,8,0.97,7.08,0.27,-2.65,80.73,5.69,29.41,30.21,984,,
0.913905447,2/17/16,9,1,8.04,0.8,-2.53,77.8,8.56,29.44,30.24,647,,
0.144082136,2/17/16,10,1,9.96,1.21,-3.17,72.04,6.68,29.45,30.25,1374.25,,
0.422244413,2/17/16,11,1,10,1.56,-2.68,73.72,6.52,29.46,30.26,1453.75,,
0.906316415,2/17/16,12,1,10,1.69,-2.33,75.64,6.92,29.46,30.26,1040,,
0.630811215,2/17/16,13,1,10,1.68,-2.24,76.49,6.68,29.46,30.26,675.5,,
0.642720139,2/17/16,14,1,9.96,1.56,-2.45,77.68,6.64,29.47,30.27,376,,
0.938696336,2/17/16,15,1,9.92,1.4,-2.43,78.43,5.77,29.49,30.29,275,,
0.817059448,2/17/16,16,1,9.82,0.94,-2.56,77.4,6.25,29.49,30.29,226,,
0.97593545,2/17/16,17,1,9.92,0.43,-2.45,77.92,2.8,29.5,30.3,22.29,,
0.0391376,2/18/16,6,0.73,6.96,-0.5,-1.55,87.56,10.32,29.56,30.36,7.7,,
0.6120942,2/18/16,7,0.14,4.32,-0.52,-1.52,89.96,9.4,29.57,30.37,391.5,,
0.325584964,2/18/16,8,0.01,4.64,0.53,-1.18,86.28,11.4,29.58,30.38,1075,,
0.981715302,2/18/16,9,0.88,5,1.85,-0.72,82.96,14.68,29.58,30.38,2000,,
0.96042226,2/18/16,10,0.71,6.32,3.19,-0.15,80.8,15.96,29.57,30.37,2403,,
0.498084663,2/18/16,11,0,7,4.78,0.54,75.88,20.24,29.54,30.34,3770.75,,
0.004324026,2/18/16,12,0.14,7.04,5.9,1.61,74.2,23.96,29.5,30.3,3012.25,,
0.663246234,2/18/16,13,0.63,8,6.79,2.22,69.92,21.72,29.46,30.26,2474,,
0.674573908,2/18/16,14,0.82,9,7.19,2.06,68.2,22,29.4,30.2,2528,,
0.920948808,2/18/16,15,0.39,9.96,7.19,1.8,67.24,20.24,29.37,30.17,1408.5,,
0.85525184,2/18/16,16,0.29,9.96,6.57,1.73,68.96,21.68,29.32,30.11,294.5,,
0.864051038,2/18/16,17,0.65,9.92,5.84,1.58,72.28,16.84,29.29,30.08,44.48,,
0.965397708,2/19/16,6,0,10,7.02,3.31,78.68,17.24,28.96,29.75,11.21,,
0.296062761,2/19/16,7,0,10,8.63,4.23,71.32,21.92,28.95,29.74,500.75,,
0.176716278,2/19/16,8,0,10,10.72,5.18,66,23.4,28.95,29.73,1144.25,,
0.320652675,2/19/16,9,0,10,12.13,6.47,65.92,23.04,28.95,29.73,1413.5,,
0.496742168,2/19/16,10,0,10,13.23,7.38,66.88,23.56,28.94,29.73,1697.5,,
0.285255858,2/19/16,11,0,10,15.27,8.8,65.6,26.24,28.93,29.72,3390.75,,
0.749349095,2/19/16,12,0.38,10,16.59,10.37,66.52,28.64,28.92,29.71,2660.5,,
0.940906549,2/19/16,13,0.49,10,17.31,8.18,53.4,24.72,28.95,29.74,3365,,
0.463577704,2/19/16,14,0,10,17.42,5.62,45.2,27.92,28.96,29.75,3598.25,,
0.0972695,2/19/16,15,0,10,16.84,5.48,45.76,26.12,28.98,29.77,2113,,
0.115778833,2/19/16,16,0,10,15.87,5.21,48.12,19.88,29.01,29.8,862.5,,
0.002727808,2/19/16,17,0,10,13.61,4.22,51.96,15.92,29.05,29.84,53.88,,
0.502653084,2/20/16,6,0,10,4.16,0.26,67.91,14.16,29.14,29.93,15.74,,
0.611798672,2/20/16,7,0,10,4.84,1.3,69.4,14.2,29.15,29.94,707,,
0.380185371,2/20/16,8,0,10,7.42,2.17,63.76,15.72,29.16,29.95,2252,,
0.334548916,2/20/16,9,0,10,11.4,3.17,55.16,13.04,29.17,29.96,3437.5,,
0.161071993,2/20/16,10,0,10,15.36,2.53,42.88,13.4,29.16,29.95,4200.25,,
0.878856268,2/20/16,11,0,10,16.66,3.55,41.36,11.16,29.16,29.95,4555.5,,
0.124632845,2/20/16,12,0,10,18.17,4.87,41.36,10.2,29.15,29.94,4551,,
0.268696639,2/20/16,13,0,10,19.32,5.09,39.32,14.04,29.12,29.91,4188.75,,
0.786396436,2/20/16,14,0,10,20.16,4.63,36.44,9.8,29.12,29.91,3505.75,,
0.714238987,2/20/16,15,0,10,20.42,4.36,34.72,8.76,29.12,29.91,2432.25,,
0.820933266,2/20/16,16,0,10,19.26,5.58,41.13,7.44,29.13,29.92,909.5,,
0.323008086,2/20/16,17,0,10,15.77,6.44,51,4.36,29.15,29.94,70,,
0.60734544,2/21/16,6,0,10,0.97,0.32,87.76,9.08,29.24,30.03,20.58,,
0.67811046,2/21/16,7,0,10,1.39,0.46,87.76,8.68,29.25,30.05,718.75,,
0.844841665,2/21/16,8,0,10,3.75,1.62,84.12,9.8,29.25,30.04,2279.5,,
0.689601744,2/21/16,9,0,10,5.67,2.14,79.53,10,29.26,30.06,3465,,
0.352600734,2/21/16,10,0,10,7.52,2.83,74.53,10.44,29.28,30.07,4274.75,,
0.734983597,2/21/16,11,0.42,10,8.93,3.08,67,11.72,29.28,30.07,4612.75,,
0.631435402,2/21/16,12,0.42,10,9.88,3.29,65.64,7.76,29.28,30.07,4376,,
0.290603645,2/21/16,13,0.8,10,9.69,3.76,68.13,12.92,29.27,30.06,3272.75,,
0.431148474,2/21/16,14,0.9,10,9.03,3.36,70.35,14.84,29.28,30.07,2739.75,,
0.261377473,2/21/16,15,0.99,10,7.78,2.77,71.84,12.48,29.3,30.09,1271.75,,
0.943698656,2/21/16,16,0.99,10,7.34,2.67,70.88,14.12,29.3,30.09,538.75,,
0.292987793,2/21/16,17,1,10,6.53,2.47,71,11.84,29.31,30.11,22.7,,
0.819379095,2/22/16,6,0.03,10,-1.41,-2.48,87.35,5.04,29.39,30.18,26.95,,
0.844318151,2/22/16,7,0.03,10,-1.01,-2.24,86.54,3.77,29.39,30.18,804,,
0.334406477,2/22/16,8,0,10,1.3,-1.34,80.92,7.4,29.37,30.17,2398.25,,
0.730204044,2/22/16,9,0.04,10,2.99,-1.34,71.04,10.57,29.37,30.17,2637,,
0.158962676,2/22/16,10,0.41,10,4.11,-1.27,65.72,10.68,29.37,30.17,3160.5,,
0.841447524,2/22/16,11,0.33,10,5.2,-0.47,64.74,9.22,29.36,30.16,3718.75,,
0.917191107,2/22/16,12,0.76,10,6.02,-0.14,63.52,3.8,29.36,30.16,2792,,
0.64702943,2/22/16,13,0.81,10,6.85,-0.08,60.67,5.7,29.33,30.13,4249.5,,
0.677046098,2/22/16,14,0.3,10,7.75,0.12,56.69,7.77,29.3,30.1,3634.75,,
0.654158969,2/22/16,15,0,10,8.11,-0.06,55.92,4.28,29.29,30.08,2439.25,,
0.713155767,2/22/16,16,0,10,7.97,0.01,55.92,7.64,29.28,30.07,993,,
0.144960225,2/22/16,17,0,10,6.53,0.33,62.8,7,29.28,30.07,80.16,,
0.452542804,2/23/16,6,0,10,-1.23,-2.91,86,9.4,29.27,30.06,55.8,,
0.785570325,2/23/16,7,0,10,-0.72,-2.97,85.2,10.04,29.29,30.08,712.5,,
0.745515139,2/23/16,8,0,10,0.56,-2.78,79.8,12.04,29.3,30.09,1986,,
0.102662507,2/23/16,9,0,10,2.77,-1.8,73.84,13.72,29.28,30.07,3443.5,,
0.152916824,2/23/16,10,0,10,5.22,-1.2,64.88,15.32,29.27,30.06,3986.25,,
0.166619555,2/23/16,11,0,10,6.94,-0.95,56.64,16.72,29.26,30.05,4261.25,,
0.174938217,2/23/16,12,0,10,8.32,-0.86,51.92,15.44,29.23,30.02,4407,,
0.811326278,2/23/16,13,0,10,9.17,-0.44,49.84,15.36,29.19,29.98,3745.75,,
0.766205891,2/23/16,14,0,10,9.41,-0.52,49.28,16.28,29.17,29.96,2509,,
0.19518296,2/23/16,15,0,10,8.85,-0.32,51.84,13.36,29.17,29.96,1012.25,,
0.208716759,2/23/16,16,0,10,7.9,-0.29,55.76,16.4,29.15,29.94,299,,
0.661935522,2/23/16,17,0.01,10,6.79,-0.56,57.2,15.84,29.12,29.92,35.09,,
0.744905401,2/24/16,6,1,5.07,0.65,-0.11,90.34,25.62,28.72,29.51,0.68,,
